DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
76, 0.333379, 0.407353, 0.462444, 0.50563, 0.54066, 0.569782, 0.594449, 0.615654, 0.6341, 0.650306, 
77, 0.333316, 0.407285, 0.462376, 0.505563, 0.540594, 0.569719, 0.594391, 0.615601, 0.634054, 0.650267, 
78, 0.333203, 0.407188, 0.462297, 0.505504, 0.540557, 0.569705, 0.594402, 0.615637, 0.634116, 0.650356, 
79, 0.333281, 0.407259, 0.462364, 0.505572, 0.540631, 0.569787, 0.594492, 0.615738, 0.634227, 0.650477, 
80, 0.333213, 0.407254, 0.462408, 0.505654, 0.54074, 0.569919, 0.594643, 0.615904, 0.634408, 0.650671, 
81, 0.333123, 0.407107, 0.462231, 0.505459, 0.540534, 0.569705, 0.594423, 0.615681, 0.634182, 0.650446, 
82, 0.333372, 0.407439, 0.462622, 0.505896, 0.54101, 0.570214, 0.594962, 0.616246, 0.634772, 0.651058, 
83, 0.333239, 0.407312, 0.462499, 0.505775, 0.540889, 0.570093, 0.594843, 0.61613, 0.634661, 0.650954, 
84, 0.333226, 0.407328, 0.462515, 0.505781, 0.540883, 0.570076, 0.594816, 0.616096, 0.63462, 0.650907, 
85, 0.333399, 0.407474, 0.462665, 0.505949, 0.541077, 0.570298, 0.595067, 0.616374, 0.634925, 0.651237, 
86, 0.333295, 0.407387, 0.462577, 0.505856, 0.540978, 0.570194, 0.594958, 0.616262, 0.63481, 0.651122, 
87, 0.333292, 0.407389, 0.462584, 0.505864, 0.540987, 0.570205, 0.594976, 0.616289, 0.634849, 0.651174, 
88, 0.333328, 0.407452, 0.462664, 0.505962, 0.541103, 0.57034, 0.595126, 0.616453, 0.635027, 0.651364, 
89, 0.333333, 0.407452, 0.462665, 0.505963, 0.541101, 0.570332, 0.595113, 0.616437, 0.635007, 0.651341, 
90, 0.33354, 0.407631, 0.462822, 0.506106, 0.541239, 0.570472, 0.595258, 0.61659, 0.63517, 0.651516, 
91, 0.333447, 0.407585, 0.462809, 0.50612, 0.541273, 0.570522, 0.595322, 0.616664, 0.635254, 0.651608, 
92, 0.333344, 0.407472, 0.46271, 0.506042, 0.54122, 0.570495, 0.595321, 0.616689, 0.635303, 0.65168, 
93, 0.333292, 0.407388, 0.462599, 0.505912, 0.541076, 0.570341, 0.59516, 0.616522, 0.635132, 0.651507, 
94, 0.333386, 0.407563, 0.462821, 0.506164, 0.54135, 0.570633, 0.595467, 0.616844, 0.635468, 0.651856, 
95, 0.333288, 0.407436, 0.462689, 0.506037, 0.541231, 0.570521, 0.595363, 0.616747, 0.635377, 0.651771, 
96, 0.333157, 0.407316, 0.462582, 0.505943, 0.54115, 0.570453, 0.595308, 0.616705, 0.635349, 0.651758, 
97, 0.333402, 0.407579, 0.462853, 0.506213, 0.541413, 0.570708, 0.595553, 0.616941, 0.635577, 0.651979, 
98, 0.333338, 0.407534, 0.462827, 0.506207, 0.541431, 0.570751, 0.595622, 0.617036, 0.635696, 0.652121, 
